LPRNet loaded
STN loaded
training dataset loaded with length : 0
training kicked off..
----------
Epoch 716/999, Iters: 008600, loss: -0.2698, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 724/999, Iters: 008700, loss: -0.3242, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 733/999, Iters: 008800, loss: -0.3297, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 741/999, Iters: 008900, loss: -0.2915, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 749/999, Iters: 009000, loss: -0.3370, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 758/999, Iters: 009100, loss: -0.3187, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 766/999, Iters: 009200, loss: -0.2950, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 774/999, Iters: 009300, loss: -0.3044, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 783/999, Iters: 009400, loss: -0.3374, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 791/999, Iters: 009500, loss: -0.2966, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 799/999, Iters: 009600, loss: -0.3325, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 808/999, Iters: 009700, loss: -0.2975, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 816/999, Iters: 009800, loss: -0.3162, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 824/999, Iters: 009900, loss: -0.3367, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 833/999, Iters: 010000, loss: -0.3323, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 841/999, Iters: 010100, loss: -0.2902, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 849/999, Iters: 010200, loss: -0.3263, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 858/999, Iters: 010300, loss: -0.3216, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 866/999, Iters: 010400, loss: -0.2944, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 874/999, Iters: 010500, loss: -0.3372, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
